Copyright 1986-2019 Xilinx, Inc. All Rights Reserved.
--------------------------------------------------------------------------------------------------------------------------------------------------
| Tool Version : Vivado v.2019.1 (lin64) Build 2552052 Fri May 24 14:47:09 MDT 2019
| Date         : Wed Jul 24 01:23:08 2019
| Host         : SHULKER running 64-bit Ubuntu 18.04.2 LTS
| Command      : report_high_fanout_nets -file /home/cdlucas/freedom/builds/e300artydevkit/obj/report/fanout.txt -timing -load_types -max_nets 25
| Design       : E300ArtyDevKitFPGAChip
| Device       : xc7a35ti
--------------------------------------------------------------------------------------------------------------------------------------------------

High Fan-out Nets Information

1. Fanout Summary
-----------------

+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+--------+-------------+-----------------+-----------------+-----------------------------+-----------------------------+-----------------------------+-----------------------------+
|                                                                                                                                                                                       |        |             |                 |                 |         Clock Enable        |          Set/Reset          |         Data & Other        |            Clock            |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+--------+-------------+-----------------+-----------------+-------+----+----------------+-------+----+----------------+-------+----+----------------+-------+----+----------------+
| Net Name                                                                                                                                                                              | Fanout | Driver Type | Worst Slack(ns) | Worst Delay(ns) | Slice | IO | BRAM/DSP/OTHER | Slice | IO | BRAM/DSP/OTHER | Slice | IO | BRAM/DSP/OTHER | Slice | IO | BRAM/DSP/OTHER |
| E300ArtyDevKitPlatform/sys/pbus/coupler_to_device_named_gpio_0/fragmenter/Repeater/full_reg_2                                                                                         |    146 | LUT6        |          14.751 |           3.319 |     0 |  0 |              0 |     0 |  0 |              0 |   146 |  0 |              0 |     0 |  0 |              0 |
| E300ArtyDevKitPlatform/sys/pbus/coupler_to_device_named_gpio_0/fragmenter/Repeater/saved_address_reg[3]_0                                                                             |    146 | LUT6        |          16.178 |           3.754 |     0 |  0 |              0 |     0 |  0 |              0 |   146 |  0 |              0 |     0 |  0 |              0 |
| E300ArtyDevKitPlatform/sys/sbus/control_bus/buffer/Queue/value_reg_0                                                                                                                  |    145 | FDRE        |          15.469 |           3.734 |     0 |  0 |              0 |     0 |  0 |              0 |   145 |  0 |              0 |     0 |  0 |              0 |
| E300ArtyDevKitPlatform/sys/sbus/control_bus/coupler_to_slave_named_MaskROM/fragmenter/Repeater/out[3]_i_8_n_0                                                                         |    143 | LUT5        |          19.659 |           2.331 |     0 |  0 |              0 |     0 |  0 |              0 |   143 |  0 |              0 |     0 |  0 |              0 |
| E300ArtyDevKitPlatform/sys/sbus/control_bus/coupler_to_slave_named_MaskROM/fragmenter/Repeater/out[31]_i_26_n_0                                                                       |    142 | LUT5        |          18.674 |           3.084 |     0 |  0 |              0 |     0 |  0 |              0 |   142 |  0 |              0 |     0 |  0 |              0 |
| E300ArtyDevKitPlatform/sys/sbus/control_bus/coupler_to_slave_named_MaskROM/fragmenter/Repeater/sbus_auto_control_bus_coupler_to_slave_named_MaskROM_fragmenter_out_a_bits_address[11] |    142 | LUT3        |          20.464 |           2.617 |     0 |  0 |              0 |     0 |  0 |              0 |   142 |  0 |              0 |     0 |  0 |              0 |
| E300ArtyDevKitPlatform/sys/tile/buffer_1/Queue/value                                                                                                                                  |    140 | FDRE        |          20.981 |           2.677 |     0 |  0 |              0 |     0 |  0 |              0 |   140 |  0 |              0 |     0 |  0 |              0 |
| E300ArtyDevKitPlatform/sys/sbus/control_bus/coupler_to_slave_named_MaskROM/fragmenter/Repeater/sbus_auto_control_bus_coupler_to_slave_named_MaskROM_fragmenter_out_a_bits_address[4]  |    139 | LUT5        |          18.662 |           2.809 |     0 |  0 |              0 |     0 |  0 |              0 |   139 |  0 |              0 |     0 |  0 |              0 |
| E300ArtyDevKitPlatform/sys/sbus/control_bus/coupler_to_slave_named_MaskROM/fragmenter/Repeater/sbus_auto_control_bus_coupler_to_slave_named_MaskROM_fragmenter_out_a_bits_address[7]  |    139 | LUT3        |          20.495 |           2.637 |     0 |  0 |              0 |     0 |  0 |              0 |   139 |  0 |              0 |     0 |  0 |              0 |
| E300ArtyDevKitPlatform/sys/sbus/control_bus/coupler_to_slave_named_MaskROM/fragmenter/Repeater/sbus_auto_control_bus_coupler_to_slave_named_MaskROM_fragmenter_out_a_bits_address[8]  |    139 | LUT3        |          18.658 |           3.890 |     0 |  0 |              0 |     0 |  0 |              0 |   139 |  0 |              0 |     0 |  0 |              0 |
| E300ArtyDevKitPlatform/sys/sbus/control_bus/coupler_to_slave_named_MaskROM/fragmenter/Repeater/sbus_auto_control_bus_coupler_to_slave_named_MaskROM_fragmenter_out_a_bits_address[9]  |    139 | LUT3        |          20.782 |           2.967 |     0 |  0 |              0 |     0 |  0 |              0 |   139 |  0 |              0 |     0 |  0 |              0 |
| E300ArtyDevKitPlatform/sys/sbus/control_bus/coupler_to_slave_named_MaskROM/fragmenter/Repeater/sbus_auto_control_bus_coupler_to_slave_named_MaskROM_fragmenter_out_a_bits_address[5]  |    138 | LUT6        |          19.120 |           3.163 |     0 |  0 |              0 |     0 |  0 |              0 |   138 |  0 |              0 |     0 |  0 |              0 |
| E300ArtyDevKitPlatform/sys/plic/Queue/_T_5345[1]                                                                                                                                      |    137 | FDRE        |          17.706 |           5.744 |     0 |  0 |              0 |     0 |  0 |              0 |   137 |  0 |              0 |     0 |  0 |              0 |
| E300ArtyDevKitPlatform/sys/sbus/control_bus/buffer/Queue/value_1_reg_0                                                                                                                |    137 | LUT4        |          18.786 |           2.619 |   130 |  0 |              0 |     0 |  0 |              0 |     7 |  0 |              0 |     0 |  0 |              0 |
| E300ArtyDevKitPlatform/sys/tile/buffer/Queue/value                                                                                                                                    |    137 | FDRE        |          18.367 |           3.064 |     0 |  0 |              0 |     0 |  0 |              0 |   137 |  0 |              0 |     0 |  0 |              0 |
| E300ArtyDevKitPlatform/sys/plic/Queue/_T_5345[0]                                                                                                                                      |    135 | FDRE        |          17.650 |           4.471 |     0 |  0 |              0 |     0 |  0 |              0 |   135 |  0 |              0 |     0 |  0 |              0 |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+--------+-------------+-----------------+-----------------+-------+----+----------------+-------+----+----------------+-------+----+----------------+-------+----+----------------+


